sl_no,gender,hsc_p,hsc_s,degree_p,degree_t,etest_p,specialisation,mba_p,salary
150,M,58,Arts,55,Comm&Mgmt,64.25,Mkt&HR,58.54,
151,M,58.66,Science,58,Sci&Tech,56,Mkt&Fin,61.3,690000
152,M,65,Commerce,75,Comm&Mgmt,83,Mkt&Fin,58.87,270000
153,F,60.5,Science,84,Sci&Tech,98,Mkt&Fin,65.25,240000
154,M,59,Science,65,Sci&Tech,86,Mkt&Fin,62.48,340000
155,M,63,Science,60,Comm&Mgmt,70,Mkt&Fin,53.2,250000
156,M,74.66,Commerce,59.9,Comm&Mgmt,56.15,Mkt&HR,65.99,
157,M,69.4,Science,65,Sci&Tech,80,Mkt&HR,52.72,255000
158,M,62.5,Commerce,60.9,Comm&Mgmt,93.4,Mkt&Fin,55.03,300000
159,M,63,Science,64,Sci&Tech,60,Mkt&Fin,61.87,
160,M,49,Commerce,58,Comm&Mgmt,62,Mkt&HR,60.59,
161,M,74,Science,65,Sci&Tech,75,Mkt&HR,72.29,300000
162,M,51,Commerce,57.5,Comm&Mgmt,57.63,Mkt&HR,62.72,
163,M,87.6,Commerce,77.25,Comm&Mgmt,75.2,Mkt&Fin,66.06,285000
164,M,67,Science,64,Sci&Tech,75,Mkt&Fin,66.46,500000
165,F,72.5,Commerce,63.35,Comm&Mgmt,53.04,Mkt&Fin,65.52,250000
166,F,78.33,Commerce,74,Comm&Mgmt,80,Mkt&Fin,74.56,
167,M,62,Commerce,60,Comm&Mgmt,63,Mkt&HR,52.38,240000
168,M,62,Science,67,Sci&Tech,58.1,Mkt&Fin,75.71,
169,F,51,Commerce,58,Comm&Mgmt,60,Mkt&HR,58.79,
170,M,42.16,Science,61.26,Sci&Tech,54.48,Mkt&HR,65.48,
171,F,67.2,Commerce,60,Comm&Mgmt,58.06,Mkt&HR,69.28,
172,M,80,Commerce,72,Comm&Mgmt,63.79,Mkt&Fin,66.04,290000
173,M,58,Commerce,56,Comm&Mgmt,84,Mkt&HR,52.64,300000
174,F,52,Science,55,Sci&Tech,67,Mkt&HR,59.32,
175,M,50.83,Science,64.27,Sci&Tech,64,Mkt&Fin,66.23,500000
176,M,62,Science,65,Sci&Tech,87.5,Mkt&HR,60.69,
177,F,60,Commerce,56,Comm&Mgmt,55,Mkt&HR,57.9,220000
178,F,97,Commerce,79,Comm&Mgmt,89,Mkt&Fin,70.81,650000
179,M,56,Science,68,Sci&Tech,73,Mkt&HR,68.07,350000
180,F,64,Science,64.2,Sci&Tech,75.5,Mkt&HR,72.14,
181,M,71.5,Commerce,62.8,Comm&Mgmt,57,Mkt&Fin,56.6,265000
182,M,60.33,Science,64.21,Sci&Tech,63,Mkt&HR,60.02,
183,M,65,Arts,57,Others,75,Mkt&Fin,59.81,
184,M,77,Commerce,69,Comm&Mgmt,60,Mkt&HR,61.82,276000
185,F,62.83,Commerce,59.79,Comm&Mgmt,60,Mkt&HR,57.29,
186,F,72,Science,78,Others,82,Mkt&HR,71.43,252000
187,F,64,Commerce,61,Comm&Mgmt,55,Mkt&Fin,62.93,
188,M,65.5,Science,67,Sci&Tech,95,Mkt&Fin,64.86,280000
189,M,47,Commerce,54.38,Comm&Mgmt,57,Mkt&Fin,56.13,
190,F,77.6,Commerce,69.2,Comm&Mgmt,95.65,Mkt&Fin,66.94,
191,F,70.2,Commerce,61,Comm&Mgmt,50,Mkt&Fin,62.5,
192,M,61,Science,72,Comm&Mgmt,72,Mkt&Fin,61.01,264000
193,M,61.4,Commerce,64.8,Comm&Mgmt,93.4,Mkt&Fin,57.34,270000
194,F,63,Arts,56,Others,80,Mkt&HR,56.63,300000
195,M,55,Commerce,56.3,Comm&Mgmt,59,Mkt&Fin,64.74,
196,M,76,Commerce,72,Comm&Mgmt,84,Mkt&HR,58.95,275000
197,M,63,Science,77.5,Sci&Tech,78,Mkt&Fin,54.48,250000
198,F,53,Science,91,Sci&Tech,59.32,Mkt&HR,69.71,260000
199,F,70,Commerce,65,Others,88,Mkt&HR,71.96,
200,M,65,Commerce,57,Comm&Mgmt,73,Mkt&HR,55.8,265000
201,M,60,Commerce,65,Comm&Mgmt,87.55,Mkt&Fin,52.81,300000
202,M,63,Science,58,Comm&Mgmt,79,Mkt&HR,58.44,
203,M,63,Science,66,Sci&Tech,61.28,Mkt&HR,60.11,240000
204,M,61.33,Commerce,56.87,Comm&Mgmt,66,Mkt&HR,58.3,260000
205,F,73,Commerce,73,Comm&Mgmt,80,Mkt&Fin,67.69,210000
206,M,62,Commerce,65,Comm&Mgmt,62,Mkt&Fin,56.81,250000
207,M,42,Science,60,Comm&Mgmt,97,Mkt&Fin,53.39,
208,M,78,Commerce,61,Comm&Mgmt,88.56,Mkt&Fin,71.55,300000
209,F,60,Science,65,Comm&Mgmt,92.66,Mkt&HR,62.92,
210,M,72,Commerce,65,Comm&Mgmt,67,Mkt&Fin,56.49,216000
211,M,82,Commerce,77.6,Comm&Mgmt,91,Mkt&Fin,74.49,400000
212,M,60,Science,72,Sci&Tech,74,Mkt&Fin,53.62,275000
213,M,67,Commerce,73,Comm&Mgmt,59,Mkt&Fin,69.72,295000
214,F,66,Commerce,58,Comm&Mgmt,70,Mkt&HR,60.23,204000
215,M,58,Science,53,Comm&Mgmt,89,Mkt&HR,60.22,
