member_id,workout_duration_minutes,monthly_membership_fee_inr,attendance_percentage,weekly_visit_count,preferred_workout
M080,67.2,3150.0,80.8,1.1,Cardio
M081,58.7,3230.0,90.2,5.0,Weights
M082,50.2,3260.0,66.2,1.5,Yoga
M083,51.0,3290.0,85.7,1.6,Weights
M084,48.9,2780.0,89.7,3.1,Weights
M085,62.8,2450.0,88.5,6.1,Cardio
M086,55.3,1890.0,89.4,5.0,Yoga
M087,50.1,910.0,88.1,2.1,Weights
M088,65.1,1890.0,89.3,5.6,Cardio
M089,56.2,4500.0,81.0,1.5,Weights
M090,49.4,1570.0,91.6,5.5,Weights
M091,36.9,1510.0,88.5,2.7,Cardio
M092,60.2,3160.0,86.9,1.7,Cardio
M093,57.9,2070.0,78.4,5.3,Weights
M094,55.6,1610.0,91.8,5.6,Cardio
M095,49.8,4030.0,89.1,2.1,Cardio
M096,45.0,2650.0,81.2,2.5,Weights
M097,52.3,2810.0,75.1,1.9,CrossFit
M098,57.8,1550.0,94.7,5.7,Weights
M099,53.5,2500.0,93.0,6.3,Weights
M100,53.3,2370.0,79.7,1.7,CrossFit
M101,49.4,2830.0,92.9,5.9,Yoga
M102,59.1,3350.0,88.9,6.8,Yoga
M103,57.8,3320.0,88.8,2.3,Weights
M104,46.0,2160.0,85.8,1.9,Weights
M105,64.1,2730.0,87.1,4.7,Cardio
M106,64.5,1190.0,89.6,6.0,Cardio
M107,64.8,2670.0,80.6,2.0,Cardio
M108,53.4,2720.0,80.4,2.3,Cardio
M109,52.7,1680.0,88.3,4.7,Weights
M110,41.1,1410.0,87.7,2.3,Weights
M111,64.1,1950.0,88.6,1.6,Cardio
M112,29.4,1160.0,85.8,2.8,Yoga
M113,50.3,2330.0,89.9,5.7,Weights
M114,50.9,2280.0,78.4,2.1,Weights
M115,65.3,1300.0,87.4,2.1,Cardio
M116,55.0,2040.0,84.5,3.0,Yoga
M117,43.4,3230.0,79.3,1.6,Cardio
M118,37.9,3220.0,86.3,1.7,Cardio
M119,46.3,3150.0,76.4,1.7,Weights
M120,56.3,1870.0,88.5,2.9,Weights
M121,55.7,1720.0,80.1,5.8,Weights
M122,52.6,1680.0,76.8,1.5,CrossFit
M123,46.8,2610.0,76.4,2.3,Cardio
M124,52.5,5760.0,74.4,1.7,Yoga
M125,67.0,3760.0,81.6,5.2,Weights
M126,41.8,4080.0,85.5,2.6,Yoga
M127,55.4,3670.0,87.3,2.3,Weights
M128,74.4,970.0,87.4,2.0,Yoga
M129,61.7,1830.0,85.1,5.4,Yoga
M130,49.5,1640.0,87.0,2.2,Yoga
M131,62.9,3510.0,79.9,1.2,Cardio
M132,46.0,4270.0,92.3,6.2,Weights
M133,55.1,1480.0,75.6,1.2,Yoga
M134,73.6,2030.0,88.5,2.9,Yoga
M135,77.7,2570.0,89.1,2.5,CrossFit
M136,34.5,1600.0,88.7,1.9,Weights
M137,63.4,1510.0,79.7,2.3,Cardio
M138,78.4,1470.0,84.5,1.6,Yoga
M139,48.5,2980.0,87.1,5.1,Cardio
M140,58.1,1330.0,94.0,6.5,Weights
M141,73.1,3330.0,82.4,6.3,Cardio
M142,49.1,2080.0,91.6,6.5,Weights
M143,60.4,2800.0,80.1,1.8,Weights
M144,54.3,4000.0,78.6,2.4,Cardio
M145,31.9,1480.0,91.9,5.4,Cardio
M146,59.2,1380.0,82.2,2.0,Cardio
M147,52.8,2420.0,73.0,1.8,CrossFit
M148,66.1,1260.0,89.5,2.3,Yoga
M149,80.1,1440.0,72.4,1.1,Weights
M150,63.2,1900.0,71.3,1.4,Weights
