time,pm2_5,pm10,nitrogen_dioxide,ozone
2026-08-11 12:00:00,7.4,13.4,2.8,71.0
2026-08-11 13:00:00,7.8,14.2,2.4,80.0
2026-08-11 14:00:00,8.1,14.7,2.9,84.0
2026-08-11 15:00:00,8.2,15.0,4.8,82.0
2026-08-11 16:00:00,8.5,13.6,7.7,77.0
2026-08-11 17:00:00,12.6,20.8,18.1,57.0
2026-08-11 18:00:00,14.5,21.1,21.9,50.0
2026-08-11 19:00:00,15.7,21.9,27.0,41.0
2026-08-11 20:00:00,16.0,22.6,29.4,35.0
2026-08-11 21:00:00,14.5,20.4,26.6,34.0
2026-08-11 22:00:00,12.5,17.1,21.0,35.0
2026-08-11 23:00:00,10.2,13.6,16.2,36.0
2026-08-12 00:00:00,8.0,10.5,13.3,35.0
2026-08-12 01:00:00,6.4,8.6,11.2,34.0
2026-08-12 02:00:00,5.6,7.9,9.6,33.0
2026-08-12 03:00:00,5.4,8.0,8.6,32.0
2026-08-12 04:00:00,5.4,8.4,8.3,31.0
2026-08-12 05:00:00,4.7,7.4,7.5,32.0
2026-08-12 06:00:00,4.9,7.7,8.1,32.0
2026-08-12 07:00:00,5.2,8.6,8.9,32.0
2026-08-12 08:00:00,5.8,9.6,8.9,35.0
2026-08-12 09:00:00,6.2,10.8,7.4,43.0
2026-08-12 10:00:00,6.5,11.9,5.3,54.0
2026-08-12 11:00:00,7.1,13.6,3.6,64.0
2026-08-12 12:00:00,7.0,13.2,2.8,72.0
2026-08-12 13:00:00,6.4,11.6,2.6,79.0
2026-08-12 14:00:00,5.7,9.5,3.2,83.0
2026-08-12 15:00:00,5.2,8.4,5.0,82.0
2026-08-12 16:00:00,5.1,8.1,7.6,77.0
2026-08-12 17:00:00,10.7,16.8,19.3,53.0
2026-08-12 18:00:00,12.2,16.8,21.7,48.0
2026-08-12 19:00:00,12.8,17.2,25.0,42.0
2026-08-12 20:00:00,12.9,17.5,26.5,37.0
2026-08-12 21:00:00,12.0,16.3,24.8,35.0
2026-08-12 22:00:00,11.5,15.7,21.3,34.0
2026-08-12 23:00:00,10.1,13.9,18.0,34.0
2026-08-13 00:00:00,8.8,12.4,15.3,34.0
2026-08-13 01:00:00,7.7,11.1,12.7,33.0
2026-08-13 02:00:00,6.8,10.1,10.6,33.0
2026-08-13 03:00:00,6.0,9.0,8.9,33.0
2026-08-13 04:00:00,5.2,7.7,7.7,32.0
2026-08-13 05:00:00,3.8,5.0,8.1,32.0
2026-08-13 06:00:00,3.6,4.5,8.3,32.0
2026-08-13 07:00:00,3.5,4.3,8.4,33.0
2026-08-13 08:00:00,3.5,4.2,8.0,36.0
2026-08-13 09:00:00,3.6,4.7,6.5,45.0
2026-08-13 10:00:00,3.6,4.7,4.4,58.0
2026-08-13 11:00:00,3.8,5.2,3.0,67.0
2026-08-13 12:00:00,3.7,5.2,2.5,70.0
2026-08-13 13:00:00,4.0,6.1,2.6,69.0
2026-08-13 14:00:00,7.6,13.8,3.8,67.0
2026-08-13 15:00:00,6.6,11.2,6.6,63.0
2026-08-13 16:00:00,8.1,13.0,10.5,58.0
2026-08-13 17:00:00,10.9,16.9,15.5,50.0
2026-08-13 18:00:00,13.2,17.5,19.8,44.0
2026-08-13 19:00:00,13.1,17.0,25.6,37.0
2026-08-13 20:00:00,13.0,16.7,29.0,31.0
2026-08-13 21:00:00,12.5,16.2,28.0,29.0
2026-08-13 22:00:00,12.1,16.0,24.6,29.0
2026-08-13 23:00:00,11.2,15.5,21.0,30.0
2026-08-14 00:00:00,9.7,14.3,17.5,31.0
2026-08-14 01:00:00,8.5,12.9,13.7,32.0
2026-08-14 02:00:00,7.3,11.1,10.9,33.0
2026-08-14 03:00:00,6.4,9.5,9.5,33.0
2026-08-14 04:00:00,5.6,8.1,8.9,32.0
2026-08-14 05:00:00,4.4,6.0,8.4,32.0
2026-08-14 06:00:00,4.3,5.9,9.0,31.0
2026-08-14 07:00:00,4.3,5.9,9.7,30.0
2026-08-14 08:00:00,4.8,6.7,9.5,33.0
2026-08-14 09:00:00,4.6,6.2,7.6,42.0
2026-08-14 10:00:00,4.3,6.2,4.9,55.0
2026-08-14 11:00:00,3.8,5.6,3.0,65.0
2026-08-14 12:00:00,3.9,5.7,2.2,71.0
2026-08-14 13:00:00,3.7,5.4,2.1,73.0
2026-08-14 14:00:00,4.6,7.7,3.5,73.0
2026-08-14 15:00:00,5.1,9.1,7.3,68.0
2026-08-14 16:00:00,5.9,9.7,12.5,60.0
2026-08-14 17:00:00,7.8,10.9,16.2,53.0
2026-08-14 18:00:00,10.1,12.7,18.5,49.0
2026-08-14 19:00:00,10.8,13.3,21.5,44.0
2026-08-14 20:00:00,9.6,12.0,23.2,39.0
2026-08-14 21:00:00,9.4,11.7,22.6,36.0
2026-08-14 22:00:00,9.3,11.4,20.7,33.0
2026-08-14 23:00:00,8.3,10.2,18.3,32.0
2026-08-15 00:00:00,6.6,8.3,15.1,33.0
2026-08-15 01:00:00,5.1,7.0,11.3,35.0
2026-08-15 02:00:00,4.3,6.3,8.5,36.0
2026-08-15 03:00:00,3.9,6.1,7.2,36.0
2026-08-15 04:00:00,3.9,6.5,6.9,36.0
2026-08-15 05:00:00,4.5,7.7,7.6,35.0
2026-08-15 06:00:00,4.9,8.3,8.2,35.0
2026-08-15 07:00:00,5.8,9.7,8.9,36.0
2026-08-15 08:00:00,5.7,10.1,9.0,38.0
2026-08-15 09:00:00,6.3,11.0,7.7,44.0
2026-08-15 10:00:00,7.1,13.7,5.7,51.0
2026-08-15 11:00:00,8.1,16.6,4.2,58.0
2026-08-15 12:00:00,9.3,19.7,3.4,64.0
2026-08-15 13:00:00,7.4,14.5,3.1,70.0
2026-08-15 14:00:00,6.3,11.5,3.4,73.0
2026-08-15 15:00:00,5.7,10.2,4.6,72.0
2026-08-15 16:00:00,5.7,10.0,6.4,67.0
2026-08-15 17:00:00,6.4,10.7,8.5,62.0
2026-08-15 18:00:00,7.8,11.6,11.2,56.0
2026-08-15 19:00:00,8.5,11.8,14.1,50.0
2026-08-15 20:00:00,8.0,10.9,16.0,44.0
2026-08-15 21:00:00,7.4,10.0,16.2,40.0
2026-08-15 22:00:00,7.2,9.5,15.3,38.0
2026-08-15 23:00:00,6.3,8.2,14.0,36.0
2026-08-16 00:00:00,5.1,6.6,12.1,36.0
2026-08-16 01:00:00,4.3,5.6,9.8,37.0
2026-08-16 02:00:00,3.9,5.2,8.1,37.0
2026-08-16 03:00:00,3.7,5.2,7.5,36.0
2026-08-16 04:00:00,3.8,5.4,7.4,34.0
2026-08-16 05:00:00,4.0,5.9,7.3,34.0
2026-08-16 06:00:00,4.3,6.6,7.0,35.0
2026-08-16 07:00:00,5.1,8.6,6.8,37.0
2026-08-16 08:00:00,5.4,9.9,6.2,40.0
2026-08-16 09:00:00,5.6,9.7,5.1,46.0
2026-08-16 10:00:00,5.6,9.9,3.7,54.0
2026-08-16 11:00:00,6.0,11.4,2.7,61.0
2026-08-16 12:00:00,5.3,10.3,2.2,67.0
2026-08-16 13:00:00,6.0,11.8,2.0,72.0
2026-08-16 14:00:00,7.5,14.8,2.1,75.0
2026-08-16 15:00:00,8.9,17.7,2.4,75.0
2026-08-16 16:00:00,10.0,19.7,3.0,74.0
2026-08-16 17:00:00,10.3,20.4,4.3,70.0
2026-08-16 18:00:00,11.2,19.1,7.3,63.0
2026-08-16 19:00:00,11.8,18.6,11.0,55.0
2026-08-16 20:00:00,11.3,17.4,13.3,48.0
2026-08-16 21:00:00,10.2,15.6,13.0,44.0
2026-08-16 22:00:00,9.3,13.9,11.2,42.0
2026-08-16 23:00:00,7.7,11.2,9.5,41.0
2026-08-17 00:00:00,5.9,8.2,8.3,40.0
2026-08-17 01:00:00,4.6,6.2,7.1,40.0
2026-08-17 02:00:00,4.0,5.4,6.3,39.0
2026-08-17 03:00:00,3.8,5.7,5.9,38.0
2026-08-17 04:00:00,4.1,6.7,5.9,37.0
2026-08-17 05:00:00,4.4,7.7,6.1,36.0
2026-08-17 06:00:00,5.2,9.0,6.9,36.0
2026-08-17 07:00:00,6.3,11.5,7.9,37.0
2026-08-17 08:00:00,7.8,16.8,8.3,40.0
2026-08-17 09:00:00,9.0,19.8,7.5,45.0
2026-08-17 10:00:00,9.0,18.3,6.0,52.0
2026-08-17 11:00:00,8.1,15.7,4.7,59.0
2026-08-17 12:00:00,6.9,12.6,3.7,67.0
2026-08-17 13:00:00,5.8,9.9,2.9,75.0
2026-08-17 14:00:00,4.7,7.2,3.1,79.0
2026-08-17 15:00:00,4.9,7.8,4.9,76.0
2026-08-17 16:00:00,5.9,8.5,7.7,68.0
2026-08-17 17:00:00,6.9,9.9,10.7,60.0
2026-08-17 18:00:00,8.4,11.5,14.2,52.0
2026-08-17 19:00:00,9.8,14.0,17.8,45.0
2026-08-17 20:00:00,9.6,13.3,19.8,39.0
2026-08-17 21:00:00,9.4,13.2,18.9,37.0
2026-08-17 22:00:00,8.9,12.2,16.2,38.0
2026-08-17 23:00:00,7.5,10.0,13.8,38.0
2026-08-18 00:00:00,6.1,7.9,12.1,38.0
2026-08-18 01:00:00,5.2,6.6,10.6,37.0
2026-08-18 02:00:00,4.6,5.7,9.4,37.0
2026-08-18 03:00:00,4.2,5.4,8.6,36.0
2026-08-18 04:00:00,4.2,5.5,8.1,35.0
2026-08-18 05:00:00,4.3,6.1,7.9,34.0
2026-08-18 06:00:00,4.7,6.7,8.3,34.0
2026-08-18 07:00:00,5.2,7.7,9.0,34.0
2026-08-18 08:00:00,5.9,9.1,9.0,37.0
2026-08-18 09:00:00,6.6,11.0,7.8,43.0
2026-08-18 10:00:00,6.9,11.6,6.0,51.0
2026-08-18 11:00:00,7.2,12.7,4.5,59.0
2026-08-18 12:00:00,8.0,15.7,3.3,67.0
2026-08-18 13:00:00,7.8,14.8,2.4,76.0
2026-08-18 14:00:00,7.2,13.8,2.9,79.0
2026-08-18 15:00:00,6.8,13.2,5.8,75.0
2026-08-18 16:00:00,8.8,15.7,10.2,66.0
2026-08-18 17:00:00,9.4,16.1,14.4,57.0
2026-08-18 18:00:00,9.9,14.4,18.2,50.0
2026-08-18 19:00:00,10.6,14.2,21.7,43.0
2026-08-18 20:00:00,10.2,14.7,23.7,38.0
2026-08-18 21:00:00,9.7,13.6,23.4,35.0
2026-08-18 22:00:00,9.3,12.2,21.7,33.0
2026-08-18 23:00:00,8.2,10.2,19.5,32.0
2026-08-19 00:00:00,6.6,7.9,16.9,31.0
2026-08-19 01:00:00,5.4,6.4,13.9,31.0
2026-08-19 02:00:00,4.8,5.6,11.5,31.0
2026-08-19 03:00:00,4.4,5.2,10.1,30.0
2026-08-19 04:00:00,4.1,4.9,9.3,29.0
2026-08-19 05:00:00,3.8,4.6,8.9,29.0
2026-08-19 06:00:00,4.1,4.9,9.2,28.0
2026-08-19 07:00:00,5.0,6.1,9.9,28.0
2026-08-19 08:00:00,5.0,7.0,9.8,31.0
2026-08-19 09:00:00,4.8,6.8,7.8,42.0
2026-08-19 10:00:00,4.0,5.8,4.9,56.0
2026-08-19 11:00:00,4.0,6.4,3.0,66.0
2026-08-19 12:00:00,3.9,6.7,2.8,67.0
2026-08-19 13:00:00,4.5,9.4,3.7,64.0
2026-08-19 14:00:00,5.7,10.6,5.3,61.0
2026-08-19 15:00:00,5.1,8.7,7.7,59.0
2026-08-19 16:00:00,5.0,7.1,10.7,57.0
2026-08-19 17:00:00,6.1,8.2,14.2,53.0
2026-08-19 18:00:00,8.5,10.6,18.8,45.0
2026-08-19 19:00:00,8.8,10.8,23.8,36.0
2026-08-19 20:00:00,8.5,10.1,26.4,29.0
2026-08-19 21:00:00,7.5,8.6,24.9,27.0
2026-08-19 22:00:00,6.4,7.2,21.0,27.0
2026-08-19 23:00:00,5.7,6.3,17.2,28.0
