location,latitude,longitude,time,pm10,pm2_5,carbon_monoxide
MG Road,12.9757,77.6011,2026-07-20 08:00:00,6.0,4.3,390.0
MG Road,12.9757,77.6011,2026-07-20 09:00:00,9.0,5.2,355.0
MG Road,12.9757,77.6011,2026-07-20 10:00:00,10.2,5.7,275.0
MG Road,12.9757,77.6011,2026-07-20 11:00:00,9.9,5.6,216.0
MG Road,12.9757,77.6011,2026-07-20 12:00:00,9.1,5.1,194.0
MG Road,12.9757,77.6011,2026-07-20 13:00:00,9.9,5.2,192.0
MG Road,12.9757,77.6011,2026-07-20 14:00:00,12.3,6.0,225.0
MG Road,12.9757,77.6011,2026-07-20 15:00:00,15.0,7.8,320.0
MG Road,12.9757,77.6011,2026-07-20 16:00:00,14.8,8.4,448.0
MG Road,12.9757,77.6011,2026-07-20 17:00:00,18.3,10.0,541.0
MG Road,12.9757,77.6011,2026-07-20 18:00:00,16.1,10.3,572.0
MG Road,12.9757,77.6011,2026-07-20 19:00:00,15.5,11.0,567.0
MG Road,12.9757,77.6011,2026-07-20 20:00:00,13.7,10.2,535.0
MG Road,12.9757,77.6011,2026-07-20 21:00:00,11.1,8.6,467.0
MG Road,12.9757,77.6011,2026-07-20 22:00:00,8.9,6.9,373.0
MG Road,12.9757,77.6011,2026-07-20 23:00:00,7.2,5.7,291.0
MG Road,12.9757,77.6011,2026-07-21 00:00:00,5.6,4.5,233.0
MG Road,12.9757,77.6011,2026-07-21 01:00:00,4.7,3.8,186.0
MG Road,12.9757,77.6011,2026-07-21 02:00:00,4.6,3.6,158.0
MG Road,12.9757,77.6011,2026-07-21 03:00:00,5.0,3.7,148.0
MG Road,12.9757,77.6011,2026-07-21 04:00:00,5.6,4.0,155.0
MG Road,12.9757,77.6011,2026-07-21 05:00:00,5.7,4.2,184.0
MG Road,12.9757,77.6011,2026-07-21 06:00:00,6.4,4.7,256.0
MG Road,12.9757,77.6011,2026-07-21 07:00:00,7.5,5.7,350.0
MG Road,12.9757,77.6011,2026-07-21 08:00:00,10.3,6.7,402.0
MG Road,12.9757,77.6011,2026-07-21 09:00:00,15.0,7.9,370.0
MG Road,12.9757,77.6011,2026-07-21 10:00:00,16.8,8.8,296.0
MG Road,12.9757,77.6011,2026-07-21 11:00:00,17.2,9.0,244.0
MG Road,12.9757,77.6011,2026-07-21 12:00:00,17.5,9.0,239.0
MG Road,12.9757,77.6011,2026-07-21 13:00:00,17.0,8.8,255.0
MG Road,12.9757,77.6011,2026-07-21 14:00:00,16.8,8.7,280.0
MG Road,12.9757,77.6011,2026-07-21 15:00:00,17.2,8.8,316.0
MG Road,12.9757,77.6011,2026-07-21 16:00:00,17.4,8.9,361.0
MG Road,12.9757,77.6011,2026-07-21 17:00:00,17.8,9.6,394.0
MG Road,12.9757,77.6011,2026-07-21 18:00:00,16.8,10.7,405.0
MG Road,12.9757,77.6011,2026-07-21 19:00:00,16.5,11.7,403.0
MG Road,12.9757,77.6011,2026-07-21 20:00:00,15.3,11.4,395.0
MG Road,12.9757,77.6011,2026-07-21 21:00:00,13.9,10.5,384.0
MG Road,12.9757,77.6011,2026-07-21 22:00:00,13.2,10.0,367.0
MG Road,12.9757,77.6011,2026-07-21 23:00:00,11.6,8.9,337.0
MG Road,12.9757,77.6011,2026-07-22 00:00:00,10.1,7.7,279.0
MG Road,12.9757,77.6011,2026-07-22 01:00:00,9.4,7.0,208.0
MG Road,12.9757,77.6011,2026-07-22 02:00:00,8.8,6.5,160.0
MG Road,12.9757,77.6011,2026-07-22 03:00:00,8.3,6.2,150.0
MG Road,12.9757,77.6011,2026-07-22 04:00:00,7.5,5.6,163.0
MG Road,12.9757,77.6011,2026-07-22 05:00:00,6.4,4.7,196.0
MG Road,12.9757,77.6011,2026-07-22 06:00:00,6.1,4.6,269.0
MG Road,12.9757,77.6011,2026-07-22 07:00:00,6.4,5.2,361.0
MG Road,12.9757,77.6011,2026-07-22 08:00:00,5.8,4.9,411.0
MG Road,12.9757,77.6011,2026-07-22 09:00:00,5.4,4.5,375.0
MG Road,12.9757,77.6011,2026-07-22 10:00:00,5.4,4.1,296.0
MG Road,12.9757,77.6011,2026-07-22 11:00:00,5.6,4.0,238.0
MG Road,12.9757,77.6011,2026-07-22 12:00:00,5.9,4.0,216.0
MG Road,12.9757,77.6011,2026-07-22 13:00:00,6.1,4.1,215.0
MG Road,12.9757,77.6011,2026-07-22 14:00:00,6.8,4.2,250.0
MG Road,12.9757,77.6011,2026-07-22 15:00:00,8.1,5.2,355.0
MG Road,12.9757,77.6011,2026-07-22 16:00:00,7.5,5.1,497.0
MG Road,12.9757,77.6011,2026-07-22 17:00:00,8.7,5.9,584.0
MG Road,12.9757,77.6011,2026-07-22 18:00:00,10.0,7.2,568.0
MG Road,12.9757,77.6011,2026-07-22 19:00:00,11.8,9.0,498.0
MG Road,12.9757,77.6011,2026-07-22 20:00:00,11.7,8.9,433.0
MG Road,12.9757,77.6011,2026-07-22 21:00:00,11.4,8.5,396.0
MG Road,12.9757,77.6011,2026-07-22 22:00:00,11.3,8.2,365.0
MG Road,12.9757,77.6011,2026-07-22 23:00:00,11.3,7.8,329.0
MG Road,12.9757,77.6011,2026-07-23 00:00:00,11.1,7.2,277.0
MG Road,12.9757,77.6011,2026-07-23 01:00:00,11.1,6.7,220.0
MG Road,12.9757,77.6011,2026-07-23 02:00:00,11.3,6.6,182.0
MG Road,12.9757,77.6011,2026-07-23 03:00:00,12.0,6.7,170.0
MG Road,12.9757,77.6011,2026-07-23 04:00:00,12.6,6.8,176.0
MG Road,12.9757,77.6011,2026-07-23 05:00:00,10.3,5.6,200.0
MG Road,12.9757,77.6011,2026-07-23 06:00:00,9.2,5.4,260.0
MG Road,12.9757,77.6011,2026-07-23 07:00:00,8.7,5.5,338.0
MG Road,12.9757,77.6011,2026-07-23 08:00:00,7.5,4.9,378.0
MG Road,12.9757,77.6011,2026-07-23 09:00:00,6.8,4.6,342.0
MG Road,12.9757,77.6011,2026-07-23 10:00:00,7.0,4.5,267.0
MG Road,12.9757,77.6011,2026-07-23 11:00:00,7.8,4.6,213.0
MG Road,12.9757,77.6011,2026-07-23 12:00:00,8.7,4.8,198.0
MG Road,12.9757,77.6011,2026-07-23 13:00:00,10.8,5.4,203.0
MG Road,12.9757,77.6011,2026-07-23 14:00:00,13.3,6.4,227.0
MG Road,12.9757,77.6011,2026-07-23 15:00:00,14.4,6.9,285.0
MG Road,12.9757,77.6011,2026-07-23 16:00:00,14.3,7.2,363.0
MG Road,12.9757,77.6011,2026-07-23 17:00:00,19.2,10.0,412.0
MG Road,12.9757,77.6011,2026-07-23 18:00:00,17.2,10.7,409.0
MG Road,12.9757,77.6011,2026-07-23 19:00:00,17.4,11.9,378.0
MG Road,12.9757,77.6011,2026-07-23 20:00:00,17.9,12.4,345.0
MG Road,12.9757,77.6011,2026-07-23 21:00:00,17.4,12.2,319.0
MG Road,12.9757,77.6011,2026-07-23 22:00:00,15.7,11.3,291.0
MG Road,12.9757,77.6011,2026-07-23 23:00:00,13.2,9.7,260.0
MG Road,12.9757,77.6011,2026-07-24 00:00:00,9.3,6.9,221.0
MG Road,12.9757,77.6011,2026-07-24 01:00:00,8.4,5.8,179.0
MG Road,12.9757,77.6011,2026-07-24 02:00:00,9.3,5.7,153.0
MG Road,12.9757,77.6011,2026-07-24 03:00:00,10.6,5.9,148.0
MG Road,12.9757,77.6011,2026-07-24 04:00:00,11.4,6.1,158.0
MG Road,12.9757,77.6011,2026-07-24 05:00:00,6.0,3.5,186.0
MG Road,12.9757,77.6011,2026-07-24 06:00:00,5.8,3.8,251.0
MG Road,12.9757,77.6011,2026-07-24 07:00:00,6.3,4.6,333.0
MG Road,12.9757,77.6011,2026-07-24 08:00:00,5.6,4.2,376.0
MG Road,12.9757,77.6011,2026-07-24 09:00:00,10.4,5.4,342.0
MG Road,12.9757,77.6011,2026-07-24 10:00:00,19.0,8.4,269.0
MG Road,12.9757,77.6011,2026-07-24 11:00:00,28.9,12.1,215.0
MG Road,12.9757,77.6011,2026-07-24 12:00:00,33.2,14.1,197.0
MG Road,12.9757,77.6011,2026-07-24 13:00:00,36.3,15.4,199.0
MG Road,12.9757,77.6011,2026-07-24 14:00:00,43.0,17.4,224.0
MG Road,12.9757,77.6011,2026-07-24 15:00:00,51.7,20.7,294.0
MG Road,12.9757,77.6011,2026-07-24 16:00:00,58.7,23.2,388.0
MG Road,12.9757,77.6011,2026-07-24 17:00:00,38.4,19.3,447.0
MG Road,12.9757,77.6011,2026-07-24 18:00:00,37.3,19.8,439.0
MG Road,12.9757,77.6011,2026-07-24 19:00:00,30.7,18.0,397.0
MG Road,12.9757,77.6011,2026-07-24 20:00:00,25.5,16.0,361.0
MG Road,12.9757,77.6011,2026-07-24 21:00:00,20.3,13.4,351.0
MG Road,12.9757,77.6011,2026-07-24 22:00:00,16.8,11.8,347.0
MG Road,12.9757,77.6011,2026-07-24 23:00:00,12.8,9.5,327.0
MG Road,12.9757,77.6011,2026-07-25 00:00:00,9.2,7.0,272.0
MG Road,12.9757,77.6011,2026-07-25 01:00:00,7.4,5.7,202.0
MG Road,12.9757,77.6011,2026-07-25 02:00:00,6.9,5.0,155.0
MG Road,12.9757,77.6011,2026-07-25 03:00:00,7.5,5.0,147.0
MG Road,12.9757,77.6011,2026-07-25 04:00:00,8.5,5.4,162.0
MG Road,12.9757,77.6011,2026-07-25 05:00:00,9.8,6.1,193.0
MG Road,12.9757,77.6011,2026-07-25 06:00:00,10.6,6.4,255.0
MG Road,12.9757,77.6011,2026-07-25 07:00:00,11.9,7.2,333.0
MG Road,12.9757,77.6011,2026-07-25 08:00:00,12.9,7.7,374.0
MG Road,12.9757,77.6011,2026-07-25 09:00:00,14.3,8.2,341.0
MG Road,12.9757,77.6011,2026-07-25 10:00:00,15.0,8.3,271.0
MG Road,12.9757,77.6011,2026-07-25 11:00:00,15.3,8.0,218.0
MG Road,12.9757,77.6011,2026-07-25 12:00:00,14.3,7.5,196.0
MG Road,12.9757,77.6011,2026-07-25 13:00:00,12.9,6.9,192.0
MG Road,12.9757,77.6011,2026-07-25 14:00:00,13.0,6.9,217.0
MG Road,12.9757,77.6011,2026-07-25 15:00:00,11.0,6.0,297.0
MG Road,12.9757,77.6011,2026-07-25 16:00:00,10.2,6.2,408.0
MG Road,12.9757,77.6011,2026-07-25 17:00:00,15.8,9.1,484.0
MG Road,12.9757,77.6011,2026-07-25 18:00:00,16.3,11.3,498.0
MG Road,12.9757,77.6011,2026-07-25 19:00:00,16.9,12.5,479.0
MG Road,12.9757,77.6011,2026-07-25 20:00:00,16.6,12.4,445.0
MG Road,12.9757,77.6011,2026-07-25 21:00:00,16.8,12.0,399.0
MG Road,12.9757,77.6011,2026-07-25 22:00:00,15.1,10.7,339.0
MG Road,12.9757,77.6011,2026-07-25 23:00:00,13.0,9.1,281.0
MG Road,12.9757,77.6011,2026-07-26 00:00:00,10.5,7.3,227.0
MG Road,12.9757,77.6011,2026-07-26 01:00:00,7.9,5.7,175.0
MG Road,12.9757,77.6011,2026-07-26 02:00:00,6.4,4.6,138.0
MG Road,12.9757,77.6011,2026-07-26 03:00:00,5.6,4.0,120.0
MG Road,12.9757,77.6011,2026-07-26 04:00:00,6.4,4.1,117.0
MG Road,12.9757,77.6011,2026-07-26 05:00:00,5.5,3.7,129.0
MG Road,12.9757,77.6011,2026-07-26 06:00:00,5.2,3.5,171.0
MG Road,12.9757,77.6011,2026-07-26 07:00:00,5.6,3.9,230.0
MG Road,12.9757,77.6011,2026-07-26 08:00:00,5.3,3.7,262.0
MG Road,12.9757,77.6011,2026-07-26 09:00:00,6.3,4.2,241.0
MG Road,12.9757,77.6011,2026-07-26 10:00:00,8.7,5.3,194.0
MG Road,12.9757,77.6011,2026-07-26 11:00:00,10.5,6.1,164.0
MG Road,12.9757,77.6011,2026-07-26 12:00:00,13.9,7.2,166.0
MG Road,12.9757,77.6011,2026-07-26 13:00:00,13.9,7.2,185.0
MG Road,12.9757,77.6011,2026-07-26 14:00:00,15.5,7.7,221.0
MG Road,12.9757,77.6011,2026-07-26 15:00:00,17.6,8.9,296.0
MG Road,12.9757,77.6011,2026-07-26 16:00:00,16.5,9.3,387.0
MG Road,12.9757,77.6011,2026-07-26 17:00:00,19.3,10.0,435.0
MG Road,12.9757,77.6011,2026-07-26 18:00:00,19.4,11.5,398.0
MG Road,12.9757,77.6011,2026-07-26 19:00:00,20.2,12.7,316.0
MG Road,12.9757,77.6011,2026-07-26 20:00:00,20.1,12.7,249.0
MG Road,12.9757,77.6011,2026-07-26 21:00:00,15.4,10.5,220.0
MG Road,12.9757,77.6011,2026-07-26 22:00:00,11.3,8.1,206.0
MG Road,12.9757,77.6011,2026-07-26 23:00:00,7.6,5.8,190.0
MG Road,12.9757,77.6011,2026-07-27 00:00:00,5.3,4.1,165.0
MG Road,12.9757,77.6011,2026-07-27 01:00:00,4.2,3.2,138.0
MG Road,12.9757,77.6011,2026-07-27 02:00:00,4.2,2.8,119.0
MG Road,12.9757,77.6011,2026-07-27 03:00:00,4.0,2.6,108.0
MG Road,12.9757,77.6011,2026-07-27 04:00:00,3.6,2.3,105.0
MG Road,12.9757,77.6011,2026-07-27 05:00:00,3.0,2.0,121.0
MG Road,12.9757,77.6011,2026-07-27 06:00:00,2.9,2.1,176.0
MG Road,12.9757,77.6011,2026-07-27 07:00:00,3.2,2.7,250.0
MG Road,12.9757,77.6011,2026-07-27 08:00:00,3.8,3.0,295.0
MG Road,12.9757,77.6011,2026-07-27 09:00:00,5.7,3.8,280.0
MG Road,12.9757,77.6011,2026-07-27 10:00:00,10.4,5.3,235.0
MG Road,12.9757,77.6011,2026-07-27 11:00:00,11.4,6.1,203.0
MG Road,12.9757,77.6011,2026-07-27 12:00:00,12.2,6.4,197.0
MG Road,12.9757,77.6011,2026-07-27 13:00:00,14.1,6.8,204.0
MG Road,12.9757,77.6011,2026-07-27 14:00:00,17.8,8.1,226.0
MG Road,12.9757,77.6011,2026-07-27 15:00:00,21.1,9.4,274.0
MG Road,12.9757,77.6011,2026-07-27 16:00:00,23.5,10.2,338.0
MG Road,12.9757,77.6011,2026-07-27 17:00:00,27.9,14.1,382.0
MG Road,12.9757,77.6011,2026-07-27 18:00:00,24.7,14.2,393.0
MG Road,12.9757,77.6011,2026-07-27 19:00:00,25.8,14.8,385.0
MG Road,12.9757,77.6011,2026-07-27 20:00:00,23.6,14.1,370.0
MG Road,12.9757,77.6011,2026-07-27 21:00:00,18.6,11.8,349.0
MG Road,12.9757,77.6011,2026-07-27 22:00:00,12.7,8.8,321.0
MG Road,12.9757,77.6011,2026-07-27 23:00:00,8.2,6.2,288.0
MG Road,12.9757,77.6011,2026-07-28 00:00:00,5.3,4.3,244.0
MG Road,12.9757,77.6011,2026-07-28 01:00:00,4.3,3.4,196.0
MG Road,12.9757,77.6011,2026-07-28 02:00:00,4.4,3.0,162.0
MG Road,12.9757,77.6011,2026-07-28 03:00:00,4.5,2.8,149.0
MG Road,12.9757,77.6011,2026-07-28 04:00:00,4.8,2.8,150.0
MG Road,12.9757,77.6011,2026-07-28 05:00:00,3.5,2.3,167.0
MG Road,12.9757,77.6011,2026-07-28 06:00:00,3.5,2.4,214.0
MG Road,12.9757,77.6011,2026-07-28 07:00:00,3.8,3.1,276.0
MG Road,12.9757,77.6011,2026-07-28 08:00:00,4.6,3.4,310.0
MG Road,12.9757,77.6011,2026-07-28 09:00:00,6.0,3.8,288.0
MG Road,12.9757,77.6011,2026-07-28 10:00:00,7.9,4.4,238.0
MG Road,12.9757,77.6011,2026-07-28 11:00:00,11.1,5.5,200.0
MG Road,12.9757,77.6011,2026-07-28 12:00:00,13.8,6.4,187.0
MG Road,12.9757,77.6011,2026-07-28 13:00:00,11.6,5.8,186.0
MG Road,12.9757,77.6011,2026-07-28 14:00:00,11.5,5.8,197.0
MG Road,12.9757,77.6011,2026-07-28 15:00:00,11.8,5.9,230.0
MG Road,12.9757,77.6011,2026-07-28 16:00:00,12.8,6.4,275.0
MG Road,12.9757,77.6011,2026-07-28 17:00:00,14.8,7.5,304.0
MG Road,12.9757,77.6011,2026-07-28 18:00:00,13.4,7.7,302.0
MG Road,12.9757,77.6011,2026-07-28 19:00:00,12.6,8.0,285.0
MG Road,12.9757,77.6011,2026-07-28 20:00:00,12.3,7.9,266.0
MG Road,12.9757,77.6011,2026-07-28 21:00:00,11.5,7.3,252.0
MG Road,12.9757,77.6011,2026-07-28 22:00:00,9.8,6.4,238.0
MG Road,12.9757,77.6011,2026-07-28 23:00:00,7.7,5.3,219.0
MG Road,12.9757,77.6011,2026-07-29 00:00:00,8.3,4.9,190.0
MG Road,12.9757,77.6011,2026-07-29 01:00:00,4.7,3.3,158.0
MG Road,12.9757,77.6011,2026-07-29 02:00:00,3.2,2.5,136.0
MG Road,12.9757,77.6011,2026-07-29 03:00:00,2.3,2.0,127.0
MG Road,12.9757,77.6011,2026-07-29 04:00:00,2.1,1.8,128.0
MG Road,12.9757,77.6011,2026-07-29 05:00:00,6.4,2.9,148.0
MG Road,12.9757,77.6011,2026-07-29 06:00:00,7.4,3.4,207.0
MG Road,12.9757,77.6011,2026-07-29 07:00:00,5.6,3.7,284.0
MG Road,12.9757,77.6011,2026-07-29 08:00:00,5.3,3.5,328.0
MG Road,12.9757,77.6011,2026-07-29 09:00:00,5.9,3.4,304.0
MG Road,12.9757,77.6011,2026-07-29 10:00:00,6.1,3.5,246.0
MG Road,12.9757,77.6011,2026-07-29 11:00:00,8.4,3.9,204.0
MG Road,12.9757,77.6011,2026-07-29 12:00:00,11.9,5.1,195.0
MG Road,12.9757,77.6011,2026-07-29 13:00:00,14.1,5.6,201.0
MG Road,12.9757,77.6011,2026-07-29 14:00:00,18.0,6.9,222.0
MG Road,12.9757,77.6011,2026-07-29 15:00:00,19.5,7.8,269.0
MG Road,12.9757,77.6011,2026-07-29 16:00:00,17.7,7.7,330.0
MG Road,12.9757,77.6011,2026-07-29 17:00:00,24.5,10.6,367.0
MG Road,12.9757,77.6011,2026-07-29 18:00:00,17.1,9.5,357.0
MG Road,12.9757,77.6011,2026-07-29 19:00:00,14.0,8.5,322.0
MG Road,12.9757,77.6011,2026-07-29 20:00:00,12.8,7.9,289.0
MG Road,12.9757,77.6011,2026-07-29 21:00:00,12.0,7.2,270.0
MG Road,12.9757,77.6011,2026-07-29 22:00:00,10.8,6.5,253.0
MG Road,12.9757,77.6011,2026-07-29 23:00:00,10.9,6.2,231.0
MG Road,12.9757,77.6011,2026-07-30 00:00:00,11.0,5.8,197.0
MG Road,12.9757,77.6011,2026-07-30 01:00:00,10.2,5.3,159.0
MG Road,12.9757,77.6011,2026-07-30 02:00:00,8.8,4.5,132.0
MG Road,12.9757,77.6011,2026-07-30 03:00:00,5.8,3.1,120.0
MG Road,12.9757,77.6011,2026-07-30 04:00:00,5.2,2.6,118.0
MG Road,12.9757,77.6011,2026-07-30 05:00:00,4.4,2.5,135.0
MG Road,12.9757,77.6011,2026-07-30 06:00:00,4.2,2.4,187.0
MG Road,12.9757,77.6011,2026-07-30 07:00:00,4.6,3.4,257.0
MG Road,12.9757,77.6011,2026-07-30 08:00:00,4.6,3.3,298.0
MG Road,12.9757,77.6011,2026-07-30 09:00:00,4.6,3.3,282.0
MG Road,12.9757,77.6011,2026-07-30 10:00:00,5.8,3.5,238.0
MG Road,12.9757,77.6011,2026-07-30 11:00:00,8.0,4.1,206.0
MG Road,12.9757,77.6011,2026-07-30 12:00:00,10.9,5.1,199.0
MG Road,12.9757,77.6011,2026-07-30 13:00:00,17.3,7.3,204.0
MG Road,12.9757,77.6011,2026-07-30 14:00:00,17.8,7.8,219.0
MG Road,12.9757,77.6011,2026-07-30 15:00:00,15.4,6.9,254.0
MG Road,12.9757,77.6011,2026-07-30 16:00:00,10.1,5.6,299.0
MG Road,12.9757,77.6011,2026-07-30 17:00:00,13.4,7.6,327.0
MG Road,12.9757,77.6011,2026-07-30 18:00:00,11.5,7.0,322.0
MG Road,12.9757,77.6011,2026-07-30 19:00:00,10.8,7.2,299.0
MG Road,12.9757,77.6011,2026-07-30 20:00:00,10.2,6.8,274.0
MG Road,12.9757,77.6011,2026-07-30 21:00:00,8.2,5.5,250.0
MG Road,12.9757,77.6011,2026-07-30 22:00:00,7.9,5.2,223.0
MG Road,12.9757,77.6011,2026-07-30 23:00:00,5.1,3.9,197.0
MG Road,12.9757,77.6011,2026-07-31 00:00:00,5.4,3.4,170.0
MG Road,12.9757,77.6011,2026-07-31 01:00:00,5.5,3.1,144.0
MG Road,12.9757,77.6011,2026-07-31 02:00:00,4.4,2.6,127.0
MG Road,12.9757,77.6011,2026-07-31 03:00:00,3.1,2.0,118.0
MG Road,12.9757,77.6011,2026-07-31 04:00:00,2.6,1.7,119.0
MG Road,12.9757,77.6011,2026-07-31 05:00:00,4.0,2.2,135.0
MG Road,12.9757,77.6011,2026-07-31 06:00:00,4.3,2.4,185.0
MG Road,12.9757,77.6011,2026-07-31 07:00:00,5.6,3.5,250.0
MG Road,12.9757,77.6011,2026-07-31 08:00:00,6.4,4.0,289.0
MG Road,12.9757,77.6011,2026-07-31 09:00:00,7.4,4.1,273.0
MG Road,12.9757,77.6011,2026-07-31 10:00:00,9.5,4.5,230.0
MG Road,12.9757,77.6011,2026-07-31 11:00:00,11.5,5.4,199.0
MG Road,12.9757,77.6011,2026-07-31 12:00:00,12.1,5.8,189.0
MG Road,12.9757,77.6011,2026-07-31 13:00:00,13.8,6.4,192.0
MG Road,12.9757,77.6011,2026-07-31 14:00:00,13.5,6.5,213.0
MG Road,12.9757,77.6011,2026-07-31 15:00:00,13.3,6.5,273.0
MG Road,12.9757,77.6011,2026-07-31 16:00:00,10.7,5.6,352.0
MG Road,12.9757,77.6011,2026-07-31 17:00:00,15.3,9.0,402.0
MG Road,12.9757,77.6011,2026-07-31 18:00:00,14.2,9.2,395.0
MG Road,12.9757,77.6011,2026-07-31 19:00:00,12.8,9.0,358.0
MG Road,12.9757,77.6011,2026-07-31 20:00:00,11.0,8.1,322.0
MG Road,12.9757,77.6011,2026-07-31 21:00:00,9.4,6.9,300.0
MG Road,12.9757,77.6011,2026-07-31 22:00:00,7.7,5.9,280.0
MG Road,12.9757,77.6011,2026-07-31 23:00:00,5.6,4.6,254.0
MG Road,12.9757,77.6011,2026-08-01 00:00:00,3.8,3.3,213.0
MG Road,12.9757,77.6011,2026-08-01 01:00:00,2.9,2.6,167.0
MG Road,12.9757,77.6011,2026-08-01 02:00:00,2.7,2.2,135.0
MG Road,12.9757,77.6011,2026-08-01 03:00:00,3.0,2.2,120.0
MG Road,12.9757,77.6011,2026-08-01 04:00:00,3.2,2.1,119.0
MG Road,12.9757,77.6011,2026-08-01 05:00:00,3.0,2.3,143.0
MG Road,12.9757,77.6011,2026-08-01 06:00:00,2.8,2.3,219.0
MG Road,12.9757,77.6011,2026-08-01 07:00:00,3.2,2.7,319.0
MG Road,12.9757,77.6011,2026-08-01 08:00:00,4.8,3.5,375.0
MG Road,12.9757,77.6011,2026-08-01 09:00:00,4.6,3.2,341.0
MG Road,12.9757,77.6011,2026-08-01 10:00:00,4.9,3.0,262.0
MG Road,12.9757,77.6011,2026-08-01 11:00:00,5.5,3.1,204.0
